data_contratacao;Esfera; PRECO_UNITARIO_PADRONIZADO ;QUANTIDADE_PADRONIZADA
29/07/2020;Estadual;55000;230
21/04/2020;Estadual;57800;50
13/04/2020;Federal;60000;4300
17/04/2020;Federal;60000;300
29/04/2020;Federal;60000;1200
21/05/2020;Estadual;60000;500
28/05/2020;Federal;60000;950
30/06/2020;Estadual;60000;50
24/06/2020;Municipal;60300;20
30/04/2020;Estadual;69873,73;250
30/04/2020;Estadual;70000;562
27/05/2020;Estadual;73710,75;100
12/05/2020;Municipal;75057;30
01/07/2020;Municipal;90000;10
27/04/2020;Estadual;93949,6;30
21/05/2020;Estadual;107000;15
14/05/2020;Municipal;108000;20
17/04/2020;Estadual;113947,3684;19
06/04/2020;Estadual;117323;700
17/04/2020;Municipal;128685;30
03/06/2020;Municipal;132790,5;50
09/04/2020;Estadual;135161,8368;100
26/04/2020;Estadual;135367,425;60
18/04/2020;Estadual;137244,9316;100
16/04/2020;Municipal;152285,7143;35
06/04/2020;Estadual;164917,86;30
20/04/2020;Estadual;165000;200
04/05/2020;Estadual;169800;400
04/05/2020;Estadual;187560;300
07/04/2020;Municipal;188000;22
04/05/2020;Estadual;198000;300
09/04/2020;Estadual;310400,6365;100
